transmitted;node name;timestamp;message id;transmission success
transmitted;m3-101;1613571272768.169;777;2
transmitted;m3-101;1613571281667.434;1667;1
transmitted;m3-101;1613571283487.299;1849;1
transmitted;m3-101;1613571293267.8179;2827;2
transmitted;m3-101;1613571295687.9849;3069;2
transmitted;m3-101;1613571303468.3262;3847;2
transmitted;m3-101;1613571310337.828;4534;2
transmitted;m3-102;1613571273515.876;847;2
transmitted;m3-102;1613571278085.383;1304;2
transmitted;m3-102;1613571283567.925;1852;2
transmitted;m3-102;1613571294805.29;2976;2
transmitted;m3-102;1613571296645.128;3160;1
transmitted;m3-102;1613571305235.543;4019;2
transmitted;m3-102;1613571312415.901;4737;2
transmitted;m3-102;1613571313537.0332;4849;2
transmitted;m3-100;1613571276723.115;1169;1
transmitted;m3-100;1613571277464.345;1243;2
transmitted;m3-100;1613571284714.8188;1968;2
transmitted;m3-100;1613571290073.4092;2504;1
transmitted;m3-100;1613571300523.602;3549;1
transmitted;m3-100;1613571301663.5188;3663;2
transmitted;m3-100;1613571312913.7139;4788;2
