transmitted;node name;timestamp;message id;transmission success
transmitted;m3-55;1610708144018.397;3171;17
transmitted;m3-55;1610708201815.9512;8951;19
transmitted;m3-55;1610708230158.3792;11785;11
transmitted;m3-55;1610708250638.334;13833;16
transmitted;m3-55;1610708262776.9102;15047;18
transmitted;m3-55;1610708293217.1172;18091;20
transmitted;m3-55;1610708324056.322;21175;12
transmitted;m3-55;1610708377656.321;26535;20
transmitted;m3-55;1610708412086.715;29978;16
transmitted;m3-55;1610708436636.342;32433;21
transmitted;m3-55;1610708453656.498;34135;20
transmitted;m3-55;1610708498736.645;38643;20
transmitted;m3-55;1610708507766.001;39546;41
transmitted;m3-55;1610708550256.604;43795;17
transmitted;m3-55;1610708573196.606;46089;12
transmitted;m3-55;1610708605417.351;49311;21
transmitted;m3-55;1610708651288.069;53898;14
transmitted;m3-55;1610708663488.2952;55118;22
transmitted;m3-55;1610708698496.999;58619;18
transmitted;m3-55;1610708719257.606;60695;19
transmitted;m3-55;1610708757827.838;64552;16
transmitted;m3-55;1610708774997.0889;66269;21
transmitted;m3-55;1610708811196.5571;69889;17
transmitted;m3-55;1610708840677.231;72837;18
transmitted;m3-55;1610708885357.758;77305;21
transmitted;m3-55;1610708917186.9321;80488;15
transmitted;m3-55;1610708935516.621;82321;17
transmitted;m3-55;1610708956566.284;84426;17
transmitted;m3-55;1610708998728.593;88642;17
transmitted;m3-55;1610709014636.208;90233;5
transmitted;m3-55;1610709053206.776;94090;13
transmitted;m3-55;1610709096446.238;98414;17
transmitted;m3-55;1610709126976.4968;101467;17
transmitted;m3-55;1610709142706.7312;103040;19
transmitted;m3-55;1610709184828.588;107252;18
transmitted;m3-55;1610709211797.294;109949;20
transmitted;m3-55;1610709230298.773;111799;17
transmitted;m3-55;1610709282218.802;116991;15
transmitted;m3-55;1610709300218.621;118791;21
transmitted;m3-55;1610709328066.958;121576;19
transmitted;m3-55;1610709360397.333;124809;20
transmitted;m3-55;1610709397888.9922;128558;21
transmitted;m3-55;1610709411509.058;129920;18
transmitted;m3-55;1610709445647.233;133334;17
transmitted;m3-55;1610709481846.928;136954;19
transmitted;m3-55;1610709516856.932;140455;16
transmitted;m3-55;1610709551687.219;143938;12
transmitted;m3-55;1610709575379.245;146307;14
transmitted;m3-55;1610709584447.0872;147214;19
transmitted;m3-55;1610709629928.507;151762;20
transmitted;m3-55;1610709661717.7651;154941;12
transmitted;m3-55;1610709690297.711;157799;18
transmitted;m3-55;1610709720587.657;160828;15
transmitted;m3-55;1610709741908.5122;162960;18
transmitted;m3-55;1610709789729.095;167742;13
transmitted;m3-55;1610709799087.142;168678;18
transmitted;m3-55;1610709851686.988;173938;19
transmitted;m3-55;1610709854626.771;174232;20
