transmitted;node name;timestamp;message id;transmission success
transmitted;m3-30;1610696550976.365;24007;24
transmitted;m3-30;1610696867576.941;55667;13
transmitted;m3-30;1610697073209.357;76230;18
transmitted;m3-30;1610697332730.236;102182;24
transmitted;m3-30;1610697633981.0332;132307;20
transmitted;m3-30;1610697775731.579;146482;24
transmitted;m3-30;1610698036402.284;172549;27
transmitted;m3-30;1610698235082.184;192417;18
transmitted;m3-30;1610698618591.233;230768;23
transmitted;m3-30;1610698905512.86;259460;30
transmitted;m3-30;1610698988642.7568;267773;20
transmitted;m3-30;1610699403064.053;309215;20
transmitted;m3-30;1610699603434.118;329252;17
transmitted;m3-30;1610699710815.072;339990;24
transmitted;m3-45;1610696720198.186;40929;15
transmitted;m3-45;1610696892059.9092;58115;17
transmitted;m3-45;1610697055090.048;74418;18
transmitted;m3-45;1610697385211.844;107430;18
transmitted;m3-45;1610697666594.8901;135568;19
transmitted;m3-45;1610697782493.4438;147158;19
transmitted;m3-45;1610698203886.397;189297;19
transmitted;m3-45;1610698281246.796;197033;28
transmitted;m3-45;1610698701028.583;239011;15
transmitted;m3-45;1610698766548.593;245563;22
transmitted;m3-45;1610699066760.948;275584;10
transmitted;m3-45;1610699261131.1099;295021;25
transmitted;m3-45;1610699444791.971;313387;18
transmitted;m3-45;1610699736042.73;342512;21
transmitted;m3-39;1610696615631.601;30470;16
transmitted;m3-39;1610697009913.33;69898;14
transmitted;m3-39;1610697127613.803;81668;27
transmitted;m3-39;1610697312674.063;100174;16
transmitted;m3-39;1610697614964.645;130403;18
transmitted;m3-39;1610697812506.372;150157;15
transmitted;m3-39;1610698116158.7988;180522;19
transmitted;m3-39;1610698455177.742;214424;15
transmitted;m3-39;1610698710139.905;239920;24
transmitted;m3-39;1610698838058.6108;252712;20
transmitted;m3-39;1610699001908.483;269097;14
transmitted;m3-39;1610699216219.736;290528;19
transmitted;m3-39;1610699585840.38;327490;26
transmitted;m3-39;1610699762921.365;345198;17
transmitted;m3-38;1610696616801.675;30592;20
transmitted;m3-38;1610697015402.977;70452;23
transmitted;m3-38;1610697205313.354;89443;20
transmitted;m3-38;1610697436834.6409;112595;18
transmitted;m3-38;1610697664137.206;135325;15
transmitted;m3-38;1610697932175.789;162129;19
transmitted;m3-38;1610698012667.124;170178;10
transmitted;m3-38;1610698255726.46;194484;19
transmitted;m3-38;1610698683796.48;237291;11
transmitted;m3-38;1610698769997.376;245911;23
transmitted;m3-38;1610699034377.801;272349;20
transmitted;m3-38;1610699326788.882;301590;23
transmitted;m3-38;1610699548459.32;323757;18
transmitted;m3-38;1610699791322.228;348043;18
transmitted;m3-23;1610696776658.3408;46595;15
transmitted;m3-23;1610696960348.338;64964;20
transmitted;m3-23;1610697060809.0972;75010;19
transmitted;m3-23;1610697407140.572;109643;22
transmitted;m3-23;1610697672378.758;136167;21
