transmitted;node name;timestamp;message id;transmission success
transmitted;m3-77;1610703450111.385;87191;26
transmitted;m3-77;1610703780551.285;120235;37
transmitted;m3-77;1610704106553.739;152835;33
transmitted;m3-77;1610704886896.235;230869;42
transmitted;m3-77;1610705118027.3281;253982;31
transmitted;m3-77;1610705740318.42;316211;40
transmitted;m3-77;1610706334848.835;375664;28
transmitted;m3-77;1610706611898.68;403369;32
transmitted;m3-77;1610706943839.9429;436563;25
transmitted;m3-77;1610707664622.8499;508641;37
transmitted;m3-76;1610703355202.934;77702;37
transmitted;m3-76;1610703879622.556;130144;34
transmitted;m3-76;1610704454575.915;187639;44
transmitted;m3-76;1610704613014.8389;203483;34
transmitted;m3-76;1610705178858.052;260067;27
transmitted;m3-76;1610705868718.53;329053;38
transmitted;m3-76;1610706161639.656;358345;40
transmitted;m3-76;1610706547620.767;396943;28
transmitted;m3-76;1610706936961.607;435877;19
transmitted;m3-76;1610707574324.853;499613;39
transmitted;m3-84;1610703441348.9229;86319;27
transmitted;m3-84;1610703645118.362;106696;36
transmitted;m3-84;1610704256619.647;167846;36
transmitted;m3-84;1610704715797.515;213764;38
transmitted;m3-84;1610705444339.267;286618;26
transmitted;m3-84;1610705517247.8882;293909;17
transmitted;m3-84;1610706049027.914;347087;30
transmitted;m3-84;1610706790807.373;421265;31
transmitted;m3-84;1610707351397.384;477324;27
transmitted;m3-84;1610707505577.621;492742;36
transmitted;m3-85;1610703510330.673;93219;25
transmitted;m3-85;1610704014882.0852;143674;33
transmitted;m3-85;1610704080611.187;150247;22
transmitted;m3-85;1610704890183.0608;231204;37
transmitted;m3-85;1610705205475.105;262733;32
transmitted;m3-85;1610705573184.031;299504;35
transmitted;m3-85;1610706016146.279;343800;27
transmitted;m3-85;1610706591967.337;401382;30
transmitted;m3-85;1610707280348.731;470220;31
transmitted;m3-85;1610707510337.204;493219;27
transmitted;m3-80;1610703473272.013;89507;31
transmitted;m3-80;1610703852602.528;127440;34
transmitted;m3-80;1610704165423.84;158722;38
transmitted;m3-80;1610704696075.2202;211787;16
transmitted;m3-80;1610705021695.986;244349;29
transmitted;m3-80;1610705792429.238;321422;43
transmitted;m3-80;1610705942588.5552;336438;30
transmitted;m3-80;1610706700770.0469;412256;30
