transmitted;node name;timestamp;message id;transmission success
transmitted;m3-110;1610722690966.873;101;0
transmitted;m3-110;1610722690967.333;102;0
transmitted;m3-110;1610722690967.608;103;7
transmitted;m3-110;1610722690968.073;104;15
transmitted;m3-110;1610722690969.1938;105;15
transmitted;m3-110;1610722690969.7822;106;15
transmitted;m3-110;1610722690970.088;107;15
transmitted;m3-110;1610722690971.7468;108;8
transmitted;m3-110;1610722690972.008;109;7
transmitted;m3-110;1610722690973.4832;110;7
transmitted;m3-110;1610722690974.672;111;0
transmitted;m3-110;1610722690977.159;112;0
transmitted;m3-110;1610722690977.457;113;3
transmitted;m3-110;1610722690977.622;114;3
transmitted;m3-110;1610722690977.763;116;6
transmitted;m3-110;1610722692277.149;232;0
transmitted;m3-110;1610722692278.5562;233;0
transmitted;m3-110;1610722692278.814;234;0
transmitted;m3-110;1610722692278.979;235;0
transmitted;m3-110;1610722692279.1199;236;0
transmitted;m3-110;1610722692280.323;237;0
transmitted;m3-110;1610722692282.0151;238;0
transmitted;m3-110;1610722692282.273;239;0
transmitted;m3-110;1610722692282.437;240;0
transmitted;m3-110;1610722692282.578;241;0
transmitted;m3-110;1610722692282.831;242;0
transmitted;m3-110;1610722692283.121;243;0
transmitted;m3-110;1610722692283.266;244;0
transmitted;m3-110;1610722692284.079;245;0
transmitted;m3-110;1610722692284.235;246;0
transmitted;m3-110;1610722693146.053;319;3
transmitted;m3-110;1610722693146.897;320;4
transmitted;m3-110;1610722693147.814;321;5
transmitted;m3-110;1610722693148.972;322;4
transmitted;m3-110;1610722693149.82;323;4
transmitted;m3-110;1610722693150.8801;324;3
transmitted;m3-110;1610722693151.8792;325;4
transmitted;m3-110;1610722693152.045;326;0
transmitted;m3-110;1610722693152.8699;327;0
transmitted;m3-110;1610722693154.052;328;0
transmitted;m3-110;1610722693154.87;329;0
transmitted;m3-110;1610722693156.045;331;0
transmitted;m3-110;1610722693157.595;332;0
transmitted;m3-110;1610722693158.173;333;0
transmitted;m3-110;1610722693159.271;334;0
transmitted;m3-110;1610722694026.49;407;0
transmitted;m3-110;1610722694028.024;408;0
transmitted;m3-110;1610722694029.341;409;0
transmitted;m3-110;1610722694029.602;410;0
transmitted;m3-110;1610722694031.102;411;0
transmitted;m3-110;1610722694031.893;412;0
transmitted;m3-110;1610722694032.086;413;0
transmitted;m3-110;1610722694032.234;414;0
transmitted;m3-110;1610722694032.367;415;0
transmitted;m3-110;1610722694033.336;416;0
transmitted;m3-110;1610722694033.5;417;0
transmitted;m3-110;1610722694033.633;418;0
transmitted;m3-110;1610722694034.871;419;0
