1610125095.289879;Aggregator started
1610125105.501153;m3-82;
1610125105.504745;m3-82;
1610125105.516527;m3-89;
1610125105.516798;m3-89;
1610125105.573892;m3-84;
1610125105.574162;m3-84;
1610125105.575496;m3-85;
1610125105.575767;m3-85;
1610125105.577478;m3-90;
1610125105.577951;m3-90;
1610125105.618845;m3-87;
1610125105.619114;m3-87;
1610125105.626254;m3-83;
1610125105.626588;m3-83;
1610125105.631215;m3-88;
1610125105.631483;m3-88;
1610125105.651648;m3-81;
1610125105.651917;m3-81;
1610125105.654081;m3-86;
1610125105.654403;m3-86;
1610125105.667097;m3-80;
1610125105.667366;m3-80;
1610125106.501792;m3-82;Platform starting in 1... 
1610125106.502082;m3-82;GO!
1610125106.503355;m3-82;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.504875;m3-82; Starting 'UDP broadcast example process'
1610125106.517128;m3-89;Platform starting in 1... 
1610125106.517402;m3-89;GO!
1610125106.519168;m3-89;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.521453;m3-89; Starting 'UDP broadcast example process'
1610125106.575088;m3-85;Platform starting in 1... 
1610125106.575351;m3-85;GO!
1610125106.576128;m3-84;Platform starting in 1... 
1610125106.576303;m3-84;GO!
1610125106.576444;m3-84;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.576983;m3-85;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.577971;m3-90;Platform starting in 1... 
1610125106.578131;m3-90;GO!
1610125106.578934;m3-90;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.579110;m3-85; Starting 'UDP broadcast example process'
1610125106.579344;m3-84; Starting 'UDP broadcast example process'
1610125106.582140;m3-90; Starting 'UDP broadcast example process'
1610125106.618559;m3-87;Platform starting in 1... 
1610125106.618833;m3-87;GO!
1610125106.620333;m3-87;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.623229;m3-87; Starting 'UDP broadcast example process'
1610125106.628844;m3-83;Platform starting in 1... 
1610125106.629113;m3-83;GO!
1610125106.629279;m3-83;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.631902;m3-83; Starting 'UDP broadcast example process'
1610125106.633903;m3-88;Platform starting in 1... 
1610125106.634174;m3-88;GO!
1610125106.634396;m3-88;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.636528;m3-88; Starting 'UDP broadcast example process'
1610125106.654192;m3-81;Platform starting in 1... 
1610125106.654518;m3-81;GO!
1610125106.654687;m3-81;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.654978;m3-86;Platform starting in 1... 
1610125106.655128;m3-86;GO!
1610125106.655848;m3-86;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.658471;m3-86; Starting 'UDP broadcast example process'
1610125106.658767;m3-81; Starting 'UDP broadcast example process'
1610125106.668044;m3-80;Platform starting in 1... 
1610125106.668318;m3-80;GO!
1610125106.668803;m3-80;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610125106.671895;m3-80; Starting 'UDP broadcast example process'
1610125117.640722;m3-89;Sending broadcast
1610125117.650464;m3-90;Data received on port 1234 from port 1234 with length 10
1610125117.650789;m3-85;Data received on port 1234 from port 1234 with length 10
1610125117.656398;m3-80;Data received on port 1234 from port 1234 with length 10
1610125117.657152;m3-86;Data received on port 1234 from port 1234 with length 10
1610125117.657451;m3-81;Data received on port 1234 from port 1234 with length 10
1610125117.672346;m3-88;Data received on port 1234 from port 1234 with length 10
1610125117.676394;m3-84;Data received on port 1234 from port 1234 with length 10
1610125117.680967;m3-87;Data received on port 1234 from port 1234 with length 10
1610125117.682522;m3-82;Data received on port 1234 from port 1234 with length 10
1610125118.630708;m3-87;Sending broadcast
1610125118.641788;m3-84;Data received on port 1234 from port 1234 with length 10
1610125118.642188;m3-90;Data received on port 1234 from port 1234 with length 10
1610125118.642738;m3-88;Data received on port 1234 from port 1234 with length 10
1610125118.649819;m3-89;Data received on port 1234 from port 1234 with length 10
1610125118.946532;m3-84;Sending broadcast
1610125118.957238;m3-85;Data received on port 1234 from port 1234 with length 10
1610125118.960533;m3-86;Data received on port 1234 from port 1234 with length 10
1610125118.963046;m3-83;Data received on port 1234 from port 1234 with length 10
1610125118.964944;m3-87;Data received on port 1234 from port 1234 with length 10
1610125118.965254;m3-82;Data received on port 1234 from port 1234 with length 10
1610125118.971648;m3-81;Data received on port 1234 from port 1234 with length 10
1610125118.977950;m3-90;Data received on port 1234 from port 1234 with length 10
1610125118.984133;m3-88;Data received on port 1234 from port 1234 with length 10
1610125118.984444;m3-89;Data received on port 1234 from port 1234 with length 10
1610125118.989163;m3-80;Data received on port 1234 from port 1234 with length 10
1610125119.023159;m3-88;Sending broadcast
1610125119.032187;m3-86;Data received on port 1234 from port 1234 with length 10
1610125119.034447;m3-81;Data received on port 1234 from port 1234 with length 10
1610125119.034917;m3-83;Data received on port 1234 from port 1234 with length 10
1610125119.036092;m3-84;Data received on port 1234 from port 1234 with length 10
1610125119.041867;m3-82;Data received on port 1234 from port 1234 with length 10
1610125119.042270;m3-85;Data received on port 1234 from port 1234 with length 10
1610125119.043720;m3-87;Data received on port 1234 from port 1234 with length 10
1610125119.054054;m3-89;Data received on port 1234 from port 1234 with length 10
1610125119.055329;m3-90;Data received on port 1234 from port 1234 with length 10
1610125119.569069;m3-80;Sending broadcast
1610125119.580706;m3-84;Data received on port 1234 from port 1234 with length 10
1610125119.581019;m3-81;Data received on port 1234 from port 1234 with length 10
1610125119.581221;m3-82;Data received on port 1234 from port 1234 with length 10
1610125119.581398;m3-83;Data received on port 1234 from port 1234 with length 10
1610125119.581565;m3-88;Data received on port 1234 from port 1234 with length 10
1610125119.581869;m3-87;Data received on port 1234 from port 1234 with length 10
1610125119.600906;m3-85;Data received on port 1234 from port 1234 with length 10
1610125119.609349;m3-89;Data received on port 1234 from port 1234 with length 10
1610125119.755797;m3-81;Sending broadcast
1610125119.764546;m3-90;Data received on port 1234 from port 1234 with length 10
1610125119.770472;m3-85;Data received on port 1234 from port 1234 with length 10
1610125119.774734;m3-82;Data received on port 1234 from port 1234 with length 10
1610125119.782745;m3-87;Data received on port 1234 from port 1234 with length 10
1610125119.783056;m3-83;Data received on port 1234 from port 1234 with length 10
1610125119.784878;m3-84;Data received on port 1234 from port 1234 with length 10
1610125119.785189;m3-80;Data received on port 1234 from port 1234 with length 10
1610125119.786969;m3-88;Data received on port 1234 from port 1234 with length 10
1610125120.537593;m3-85;Sending broadcast
1610125120.587234;m3-87;Data received on port 1234 from port 1234 with length 10
1610125120.587828;m3-83;Data received on port 1234 from port 1234 with length 10
1610125120.588359;m3-89;Data received on port 1234 from port 1234 with length 10
1610125120.588843;m3-84;Data received on port 1234 from port 1234 with length 10
1610125120.595023;m3-88;Data received on port 1234 from port 1234 with length 10
1610125120.595425;m3-90;Data received on port 1234 from port 1234 with length 10
1610125120.605307;m3-81;Data received on port 1234 from port 1234 with length 10
1610125121.126261;m3-86;Sending broadcast
1610125121.136854;m3-85;Data received on port 1234 from port 1234 with length 10
1610125121.137218;m3-90;Data received on port 1234 from port 1234 with length 10
1610125121.137422;m3-87;Data received on port 1234 from port 1234 with length 10
1610125121.137601;m3-88;Data received on port 1234 from port 1234 with length 10
1610125121.137812;m3-89;Data received on port 1234 from port 1234 with length 10
1610125121.138069;m3-80;Data received on port 1234 from port 1234 with length 10
1610125121.143602;m3-84;Data received on port 1234 from port 1234 with length 10
1610125121.143969;m3-83;Data received on port 1234 from port 1234 with length 10
1610125121.144243;m3-81;Data received on port 1234 from port 1234 with length 10
