1610371641.629583;Aggregator started
1610371649.121484;m3-98;
1610371649.121956;m3-98;
1610371649.251507;m3-99;�
1610371649.251833;m3-99;
1610371650.122210;m3-98;Platform starting in 1... 
1610371650.122565;m3-98;GO!
1610371650.124128;m3-98;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610371650.125843;m3-98; Starting 'UDP broadcast example process'
1610371650.252305;m3-99;Platform starting in 1... 
1610371650.252576;m3-99;GO!
1610371650.253062;m3-99;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610371650.256208;m3-99; Starting 'UDP broadcast example process'
1610371655.424888;m3-98;Sending broadcast
1610371658.574069;m3-99;Sending broadcast
1610371658.585424;m3-98;Data received on port 1234 from port 1234 with length 5
1610371660.865500;m3-98;Sending broadcast
1610371660.883570;m3-99;Data received on port 1234 from port 1234 with length 5
1610371661.966246;m3-99;Sending broadcast
1610371661.975043;m3-98;Data received on port 1234 from port 1234 with length 5
1610371666.264685;m3-98;Sending broadcast
1610371666.275181;m3-99;Data received on port 1234 from port 1234 with length 5
1610371669.615948;m3-99;Sending broadcast
1610371669.628782;m3-98;Data received on port 1234 from port 1234 with length 5
1610371670.274116;m3-99;Sending broadcast
1610371670.287263;m3-98;Data received on port 1234 from port 1234 with length 5
1610371673.794441;m3-98;Sending broadcast
1610371673.806802;m3-99;Data received on port 1234 from port 1234 with length 5
1610371676.566635;m3-99;Sending broadcast
1610371676.574933;m3-98;Data received on port 1234 from port 1234 with length 5
1610371677.684189;m3-98;Sending broadcast
1610371677.694405;m3-99;Data received on port 1234 from port 1234 with length 5
1610371682.586034;m3-99;Sending broadcast
1610371682.599045;m3-98;Data received on port 1234 from port 1234 with length 5
1610371685.083903;m3-98;Sending broadcast
1610371685.097626;m3-99;Data received on port 1234 from port 1234 with length 5
1610371686.354183;m3-99;Sending broadcast
1610371686.368456;m3-98;Data received on port 1234 from port 1234 with length 5
1610371687.205526;m3-98;Sending broadcast
1610371693.555854;m3-98;Sending broadcast
1610371693.587700;m3-99;Data received on port 1234 from port 1234 with length 5
1610371694.854493;m3-99;Sending broadcast
1610371694.865035;m3-98;Data received on port 1234 from port 1234 with length 5
1610371695.584072;m3-98;Sending broadcast
1610371698.615196;m3-99;Sending broadcast
1610371698.628708;m3-98;Data received on port 1234 from port 1234 with length 5
1610371700.734935;m3-99;Sending broadcast
1610371700.744748;m3-98;Data received on port 1234 from port 1234 with length 5
1610371701.063957;m3-98;Sending broadcast
1610371701.077109;m3-99;Data received on port 1234 from port 1234 with length 5
1610371708.736533;m3-99;Sending broadcast
1610371708.768805;m3-98;Data received on port 1234 from port 1234 with length 5
1610371709.083976;m3-98;Sending broadcast
1610371710.406302;m3-99;Sending broadcast
1610371710.416788;m3-98;Data received on port 1234 from port 1234 with length 5
1610371710.614484;m3-98;Sending broadcast
1610371710.624631;m3-99;Data received on port 1234 from port 1234 with length 5
1610371717.754902;m3-99;Sending broadcast
1610371717.765491;m3-98;Data received on port 1234 from port 1234 with length 5
1610371718.544462;m3-98;Sending broadcast
1610371718.555747;m3-99;Data received on port 1234 from port 1234 with length 5
1610371722.054289;m3-98;Sending broadcast
1610371722.065832;m3-99;Data received on port 1234 from port 1234 with length 5
1610371723.614900;m3-99;Sending broadcast
1610371723.654128;m3-98;Data received on port 1234 from port 1234 with length 5
1610371726.674315;m3-98;Sending broadcast
1610371726.685020;m3-99;Data received on port 1234 from port 1234 with length 5
1610371727.754893;m3-99;Sending broadcast
1610371727.792978;m3-98;Data received on port 1234 from port 1234 with length 5
1610371731.454332;m3-99;Sending broadcast
1610371731.474440;m3-98;Data received on port 1234 from port 1234 with length 5
1610371733.304462;m3-98;Sending broadcast
1610371733.316331;m3-99;Data received on port 1234 from port 1234 with length 5
1610371739.216782;m3-99;Sending broadcast
1610371739.227853;m3-98;Data received on port 1234 from port 1234 with length 5
1610371740.024260;m3-98;Sending broadcast
1610371740.037576;m3-99;Data received on port 1234 from port 1234 with length 5
1610371740.374208;m3-98;Sending broadcast
1610371740.386485;m3-99;Data received on port 1234 from port 1234 with length 5
1610371743.785452;m3-99;Sending broadcast
1610371743.795227;m3-98;Data received on port 1234 from port 1234 with length 5
1610371747.953451;m3-98;Sending broadcast
1610371747.968461;m3-99;Data received on port 1234 from port 1234 with length 5
